Pressure,Qual0.5,Qual1,Qual2,Qual5,Qual10,Qual20,Qual30,Qual50,Qual100,Qual200,Qual500,,,,,,,,,,,,,,,,,,,
2.36,0.117930407,0.235721739,0.470887831,1.173065303,2.332369784,4.610340081,6.835179686,11.13039474,21.02193261,37.62464871,69.27212614,,,,,,,,,,,,,,,,,,,
2.38,0.118929223,0.237717005,0.474868915,1.182947503,2.351901357,4.648488315,6.891061812,11.21921992,21.17973089,37.87365178,69.57787359,,,,,,,,,,,,,,,,,,,
2.4,0.119928029,0.23971223,0.478849841,1.192828714,2.371429024,4.686621292,6.946910419,11.30795633,21.33721389,38.12166082,69.88057881,,,,,,,,,,,,,,,,,,,
2.42,0.120926825,0.241707416,0.482830607,1.202708937,2.390952786,4.72473902,7.002725526,11.39660404,21.49438224,38.36867981,70.18027206,,,,,,,,,,,,,,,,,,,
2.44,0.12192561,0.243702562,0.486811215,1.212588172,2.410472643,4.762841503,7.058507155,11.48516315,21.65123657,38.6147127,70.47698331,,,,,,,,,,,,,,,,,,,
2.46,0.122924386,0.245697668,0.490791662,1.222466419,2.429988597,4.800928749,7.114255325,11.57363374,21.80777751,38.85976342,70.77074223,,,,,,,,,,,,,,,,,,,
2.48,0.123923152,0.247692734,0.494771951,1.232343679,2.449500648,4.839000762,7.169970055,11.66201591,21.96400567,39.10383589,71.06157821,,,,,,,,,,,,,,,,,,,
2.5,0.124921908,0.24968776,0.498752081,1.242219951,2.469008797,4.87705755,7.225651367,11.75030974,22.11992169,39.34693403,71.34952031,,,,,,,,,,,,,,,,,,,
2.52,0.125920653,0.251682747,0.502732051,1.252095235,2.488513045,4.915099118,7.28129928,11.83851532,22.27552619,39.58906171,71.63459735,,,,,,,,,,,,,,,,,,,
2.54,0.126919389,0.253677693,0.506711862,1.261969532,2.508013392,4.953125473,7.336913815,11.92663274,22.4308198,39.83022282,71.91683782,,,,,,,,,,,,,,,,,,,
2.56,0.127918115,0.255672599,0.510691514,1.271842841,2.52750984,4.99113662,7.39249499,12.01466209,22.58580312,40.07042122,72.19626995,,,,,,,,,,,,,,,,,,,
2.58,0.128916831,0.257667466,0.514671007,1.281715163,2.547002389,5.029132565,7.448042827,12.10260345,22.74047679,40.30966073,72.47292169,,,,,,,,,,,,,,,,,,,
2.6,0.129915537,0.259662293,0.51865034,1.291586498,2.566491039,5.067113316,7.503557346,12.19045691,22.89484142,40.5479452,72.7468207,,,,,,,,,,,,,,,,,,,
2.62,0.130914232,0.26165708,0.522629515,1.301456846,2.585975792,5.105078877,7.559038565,12.27822256,23.04889763,40.78527844,73.01799436,,,,,,,,,,,,,,,,,,,
